OECD_Research_Area,Year_Range,Tech_Level,TRLxAdoption,Impact,Technology_Name,Tech_Count
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_3,TRL 5-6,68.412,Agrivoltaic irrigation system; Artificial Lytic Enzymes; Automated In-Situ Biomass Processing System; Balloon-based cloud seeding; Bio-Capacitive Agricultural Swarm Robots with Protein-Based Energy Storage; CRISPR-Enabled Photosynthesis Enhancement System; Circular Economy Agrivoltaic Bioconversion System; Cultured meat bioprocess scaleup; Drone-based cloud seeding; Evolved Endolysins; Fungal Mycelium Bioreactor for Lignocellulosic Conversion; Fungi-Enhanced Consolidated Bioprocessing; Fungi-Mediated Biomass Decomposition Platform; Gene-Edited Photosynthetic Protein Arrays; Gene-Engineered Microbial Consortium for Biomass Conversion; Gene-Engineered Thermophilic Fungal Bioenergy System; Gene-engineered Photosynthetic Biofuel System; Gene-engineered Photosynthetic Enhancement Agrivoltaics; Gene-engineered Photosynthetic Enhancement Microalgae; Insect-targeted RNA spray; Integrated Photonic SCO Bioreactors; Mealworm based biodegradble plastic; Microbial Fuel Cell-Insect Waste Integration System; Modular Plant-based Biobattery System; Photosynthetic Microalgae Mini Bioreactors; Programmable Macroalgae Metabolic Switching System; Programmable Mycobiomass Energy Generator; Quantum Dot-Enhanced Microalgal Photosynthesis; Quantum Dot-Enhanced Photosynthetic Spectrum Expansion; Salinity resistent crop; Self-Sustainable Microbial-Enhanced Agrivoltaic System; Self-Sustaining Circular Algal Biorefinery; Serum free cultured meat; Soil cleaning nanorobot; soil based microbial fuel cell,35
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_1,TRL 5-6 Innovators,70.77,Mycorrhizal Fungi,1
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_2,TRL 5-6 Innovators,64.362,Anti-fungal fungal agent; Insect food safety and quality control; Probiotic fungi; Synthetic mycobiomass,4
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_3,TRL 5-6 Innovators,68.074,Automated Vertical Fungal Biorefinery; Bioabsorbable seed coating; Fungi-Mediated Biomethane Production Platform; In-Situ Cellulosic Conversion System; Nanoparticle enriched plant-based meat; Plasma-Activated Water; Wearable plant sensors,7
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_1,TRL 7-8,76.67,Carbon sequestration; Space advanced life support systems,2
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_2,TRL 7-8,74.974,3d cultured meat engineering; Biological cellulose pretreatment ; Biomass Carbon Removal; Biorefinery bioproducts production; Chemical degrading additives; Climate resilient crop; Cultured meat; Genetic engineering cryopreservation; Genetically modified livestock; Phytomining; Second-generation biofuel; Second-generation biofuels; Self-sustainable Circular Economy Algal Biorefinery; Temperature varying resistent crop; Third-generation biofuel; Tree-crop-livestock interaction management; pH tolerant crop; pH-responsive material,18
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_3,TRL 7-8,72.751,Agrivoltaic farming automation; Aviation fuel from biomass; Biological biomass physicochemical pretreatment ; Cell-based milk; Cultured meat bioreactor; Enzyme-Engineered Mycobiomass Energy System; Fungi-Based Metabolic Engineering for Lignocellulosic Energy Conversion; Gene-edited Algal Biofuel Systems; In-Situ Carbon Capture Biofuel System; In-Situ Consolidated Bioprocessing System; Modular Fungal Biofuel Production System; Programmable Metabolic Switch Microalgae; Reporter phage assay; Serum-free cultured meat; Smart fertilizers; Urine recycling into fertilizer,16
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_1,TRL 7-8 Innovators,76.101,Agroecology; Agroforestry; Biological sequestration; Carbon dioxide removal; Ceratin fungi; Climate smart agriculture; Cultivated energy crop; Erosion control; Insects as food; Microbial communities; Post-harvest preservation,11
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_2,TRL 7-8 Innovators,71.739,AI-Driven Catalytic Biomass Conversion; Advanced agriculture impact model; Agricultural bio-manufacturing; Agricultural swarm robots; Agriculture climate modeling; Agrivoltaic plant modification; Agrivoltaics; Algae protein expression; Aquaponics; Automated animal monitoring; Bio-based coating; Bio-inspired manufacturing; Biochar Production; Biocomposites; Biodegradable additives; Biodegradable plant-based polymer; Biodegradable polymers; Biodegradable silk protein; Biofuel; Biological biomass pretreatment ; Biopesticide; Bioremediation; Biostimulants; CRISPR-based genome mining; Circular Microbial-Based Biofuel System; Climate smart decision support tools; Cloud farming; Controlled environment agriculture for space; Drought resistent crop; Edible coating; Endophytic Fungi; Engineered macroalgae; Engineered microalgae; Enhanced nutritional fermented fungi; Enzyme-assisted food processing; Erosion control AI modeling; Food bio-manufacturing; Fungal biopesticide; Fungal bioremediation; Fungal microremediation; Future fertilizers; Gene sythesis; Gene-expression silencing; Genetically modified microbes; Genetically modified microorganism; Hydrogen from biomass; Hyperspectral imaging; Lignocellulose-Degrading Fungi; Microbial biopesticide; Microbial protein production; Microbiome engineering; Modular Distributed Cellulosic Conversion Network; Multiplex CRISPR; Multispectral crop monitoring; Mycobiomass; Nitrogen-fixing bacteria; Nutrient delivery monitoring; Nutrient delivery system; Nutrient optimization; Optical crop monitoring; Optimization of plasmid design; Pest prediction; Pesticide optimization; Phage-based food safety; Photodegradable plastic; Plant disease prediction; Plant-based polymer; Post-transcriptional gene silencing; Precision veterinary care; Production optimized GM food; Protein production; Single cell oils; Small scale intensive agricultural system; Soil Carbon Sequestration; Soil mapping; Synthetic CRISPR system; Trait optimized GM food; Transcriptional gene silencing; Transient pest control system; Upcycling food waste; Urban composting; Urban livestock; Viral biopesticide; Water-use optimization; bio-adhesive; bioregenerative life support system; microbial insecticide,87
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_3,TRL 7-8 Innovators,71.123,Acoustic deterrent device; Aeroponics; Aeroponics tower; Agrivoltaic light solutions; Agrivoltaic solar panel; All-rounder AgBot; Animal facial recognition; Artificial seeds for erosion control; Automated Precision Algal Bioreactor Arrays; Automated insect farming system; Automatic composter; Bacteria additives for wheat growth efficiency; Bio-nylon; Biodegradable agricultural mulch film; Biological lignin pretreatment ; Biological physicochemical pretreatment of lignocellulosic biomass; Bioreactor for insect cultivation; CRISPR Cas9 Base editing; CRISPR Cas9 Prime editing; CRISPR edited fruit; CRISPR-Cpf1 ; CRISPR-Engineered Biofuel Production System; CRISPRi; Cellulosic enzymatic Conversion; Circular Economy Macroalgae Biorefinery System; Circular Economy Mycobiomass Reactor; Cpf1 enzyme gene editing; Crop monitoring robot; Crop spraying robot; Cultured meat cell cultivation; Cultured meat growth medium; Deepwater culture; Dissolvable plant pot; Edible Insect-based waste management; Electric Composter; Engineered Lysins; Enzyme-Engineered Cellulosic Conversion System; Erosion control monitoring and sensing; Fogponics; Fungal agricultural additive; Fungi-Enhanced Bioconversion Platform; Fungi-Mediated Waste Bioconversion System; Fungi-based nutritional supplement; Gene-engineered High-yield SCO Bioreactors; Genetically modified meat analog; High-pressure aeroponics; Hydroponic fodder system; Hyperspectral-Optimized Dynamic Agrivoltaic System; LiDAR crop monitoring; Livestock drone automated sensing; Low-pressure aeroponics; Mealworm protein; Microbial fungicide; Multi-wavelength LiDAR sensor; Paper-based biosensor; Phage amplification assay; Phage biocontrol against listeria; Phage biocontrol against salmonella; Phage cocktails; Plant remote network sensors; Plant-based protein 3d printing; Plant-based protein isolation; Plant-based protein texturalization; Planting robot; Precision livestock feeding; Robotic weeder; Salinity sensor; Seeding robot; Self-cleaning bio-based coating; Smart Composting Bin; Smart irrigation and drainage; Smartphone-based scientific instrumentation; Starch-based plastic; Terahertz technology for post harvest preservation; Weeding robot; autonomous laser weeder; bioplastic thermoform; microbial herbicide; pH sensor; rbcL barcoding,80
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_2,TRL 9 Innovators,73.296,Agricultural climate control; Agricultural robot; Biogas digester; Hyperspectral crop monitoring; IoT in agriculture; Nutrient sensor; Precision agriculture; Precision fermentation; Precision livestock farming,9
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_3,TRL 9 Innovators,74.024,Agricultural drone; Animal health monitoring; Automated nutrient delivery control; Autonomous tractor; Geospatial field zoning analytics; In-vessel Composting System; Insect feed formula; Plant-based mean precision fermentation; Plant-based meat; Plant-based protein Extrusion; Precision planting system; Slow-release fertilizer capsule; Smart greenhouse; Soil sensor; UAV precision spraying; forecasting microclimate weather,16
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_2,TRL 7-8 Early Adopters,64.47,CRISPR; DNA barcoding; Gene Editing,3
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_3,TRL 7-8 Early Adopters,66.35,CRISPR Cas12; CRISPR-Cas-9; CRISPR-Cas9,3
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_1,TRL 9 Early Majority,41.57,Urea fertilization,1
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_2,TRL 9 Early Adopters,74.07,Hydroponics; Satellite crop monitoring; Single nucleotide polymorphism analysis,3
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_2,TRL 9 Early Majority,86.67,Milk alternatives,1
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_3,TRL 9 Early Adopters,70.66,Micro-irrigation system; Moisture sensor; Soil pH sensor; Variable Rate Technology,4
"Agriculture, forestry, fisheries",1-3 years,TECH_LEVEL_3,TRL 9 Early Majority,35.98,Cannabidiol; Plant-based milk,2
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_2,TRL 3-4,60,Gene modified edible insect,1
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_2,TRL 5-6,57.315,Cloud ionization tower; De-extinction; Gene-engineered Photosynthetic Enhancement System; Genetically modified rubber; Photosynthetic Pathway Engineering for Direct Solar Energy Capture; Stratospheric aerosol injection,6
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_3,TRL 5-6,80.038,Bio-Capacitive Agricultural Swarm Robots with Protein-Based Energy Storage; Gene-engineered Photosynthetic Biofuel System; Modular Plant-based Biobattery System; Quantum Dot-Enhanced Microalgal Photosynthesis; Soil cleaning nanorobot,5
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_1,TRL 5-6 Innovators,70.415,Ocean-Based Carbon Dioxide Removal; Plant nanobionics,2
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_2,TRL 5-6 Innovators,66.916,Atmosphere ionization; Fungi-Mediated Cellulosic Bioconversion Platform; Gene-Engineered Mycobiomass Energy Network; Ocean-based Carbon Sequestration; RNA-based Algal Productivity Enhancement,5
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_3,TRL 5-6 Innovators,74.423,Chloroplast-Enhanced Holographic Light Trapping Films; Drone-based cloud seeding; Fungal Mycelium Bioreactor for Lignocellulosic Conversion; Fungi-Mediated Biomass Decomposition Platform; Integrated Photonic SCO Bioreactors; Mealworm based biodegradble plastic; Programmable Macroalgae Metabolic Switching System,7
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_1,TRL 7-8,86.67,Space advanced life support systems,1
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_2,TRL 7-8,71.96,Antbiotic fungi; Closed loop regenerative life support systems; Engineered ecological life support system; Fourth-generation biofuel; Space advanced life support food production; Temperature varying resistent crop; Weather modification technology; pH tolerant crop,8
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_3,TRL 7-8,69.78,Gene-Edited Photosynthetic Protein Arrays; Salinity resistent crop,2
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_1,TRL 7-8 Innovators,70.275,Fungi treatment; Halophytes,2
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_2,TRL 7-8 Innovators,71.745,3d cultured meat engineering; Artificial rain; Biobased phase-change material; Biological cellulose pretreatment ; Biological process photosynthesis; Biomass Carbon Removal; CRISPR based genetic drivers; Cellular agriculture; Chemical degrading additives; Cultured meat; Edge-effect based agrotechnologies; Engineered microbial consortia; Enhanced Mineralization; Enhanced Photosynthesis; Epigenome editing; Field assistant robot; Gene drive technology; Gene-Engineered Adaptive Bioreactor Arrays for Distributed Energy Generation; Genetic engineering cryopreservation; Genetically modified fish; Genetically modified fungi; Genetically modified marine species; Genetically modified trees; Insect processing technology; Micro-gravity agriculture; Microbial Carbon Fixation; Phytomining; Self-sustainable Circular Economy Algal Biorefinery; Space-borne agriculture; Third-generation biofuel; Transgenic crop protein production; pH-responsive material,32
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_3,TRL 7-8 Innovators,66.476,Agrivoltaic irrigation system; Artificial Lytic Enzymes; Automated In-Situ Biomass Processing System; Balloon-based cloud seeding; Biological biomass physicochemical pretreatment ; CRISPR-Enabled Photosynthesis Enhancement System; Cell-based milk; Circular Economy Agrivoltaic Bioconversion System; Cultured meat bioprocess scaleup; Cultured meat bioreactor; Enzyme-Engineered Mycobiomass Energy System; Evolved Endolysins; Fungi-Based Metabolic Engineering for Lignocellulosic Energy Conversion; Fungi-Enhanced Consolidated Bioprocessing; Gene-Engineered Microbial Consortium for Biomass Conversion; Gene-Engineered Thermophilic Fungal Bioenergy System; Gene-edited Algal Biofuel Systems; Gene-engineered Photosynthetic Enhancement Agrivoltaics; Gene-engineered Photosynthetic Enhancement Microalgae; In-Situ Carbon Capture Biofuel System; In-Situ Consolidated Bioprocessing System; Insect-targeted RNA spray; Microbial Fuel Cell-Insect Waste Integration System; Modular Fungal Biofuel Production System; Photosynthetic Microalgae Mini Bioreactors; Programmable Metabolic Switch Microalgae; Programmable Mycobiomass Energy Generator; Quantum Dot-Enhanced Photosynthetic Spectrum Expansion; Reporter phage assay; Self-Sustainable Microbial-Enhanced Agrivoltaic System; Self-Sustaining Circular Algal Biorefinery; Serum free cultured meat; Serum-free cultured meat; Smart fertilizers; soil based microbial fuel cell,35
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_1,TRL 9 Innovators,66.67,Carbon sequestration,1
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_2,TRL 9 Innovators,70.942,Biorefinery bioproducts production; Climate resilient crop; Genetically modified livestock; Second-generation biofuel; Second-generation biofuels; Tree-crop-livestock interaction management,6
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_3,TRL 9 Innovators,83.247,Agrivoltaic farming automation; Aviation fuel from biomass; Urine recycling into fertilizer,3
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_1,TRL 7-8 Early Adopters,69.569,Biological sequestration; Carbon dioxide removal; Ceratin fungi; Cultivated energy crop; Microbial communities; Mycorrhizal Fungi,6
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_2,TRL 7-8 Early Adopters,71.946,AI-Driven Catalytic Biomass Conversion; Agricultural bio-manufacturing; Agrivoltaic plant modification; Algae protein expression; Anti-fungal fungal agent; Bio-based coating; Bio-inspired manufacturing; Biodegradable plant-based polymer; Biodegradable silk protein; Biological biomass pretreatment ; Circular Microbial-Based Biofuel System; Cloud farming; Controlled environment agriculture for space; Edible coating; Endophytic Fungi; Engineered macroalgae; Engineered microalgae; Enhanced nutritional fermented fungi; Erosion control AI modeling; Food bio-manufacturing; Fungal bioremediation; Future fertilizers; Hydrogen from biomass; Insect food safety and quality control; Lignocellulose-Degrading Fungi; Microbiome engineering; Modular Distributed Cellulosic Conversion Network; Mycobiomass; Nitrogen-fixing bacteria; Nutrient delivery monitoring; Nutrient optimization; Optimization of plasmid design; Pesticide optimization; Precision veterinary care; Probiotic fungi; Protein production; Soil Carbon Sequestration; Synthetic mycobiomass; Trait optimized GM food; Transcriptional gene silencing; Transient pest control system; Upcycling food waste; Urban livestock; bioregenerative life support system,44
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_3,TRL 7-8 Early Adopters,70.482,Animal facial recognition; Artificial seeds for erosion control; Automated Precision Algal Bioreactor Arrays; Automated Vertical Fungal Biorefinery; Automated insect farming system; Bacteria additives for wheat growth efficiency; Bioabsorbable seed coating; Biological lignin pretreatment ; Biological physicochemical pretreatment of lignocellulosic biomass; CRISPR Cas9 Base editing; CRISPR Cas9 Prime editing; CRISPR-Engineered Biofuel Production System; Cellulosic enzymatic Conversion; Circular Economy Mycobiomass Reactor; Crop monitoring robot; Cultured meat cell cultivation; Cultured meat growth medium; Edible Insect-based waste management; Engineered Lysins; Enzyme-Engineered Cellulosic Conversion System; Fogponics; Fungi-Enhanced Bioconversion Platform; Fungi-Mediated Biomethane Production Platform; Fungi-based nutritional supplement; Gene-engineered High-yield SCO Bioreactors; Genetically modified meat analog; Hyperspectral-Optimized Dynamic Agrivoltaic System; In-Situ Cellulosic Conversion System; Mealworm protein; Nanoparticle enriched plant-based meat; Phage amplification assay; Phage cocktails; Plant-based protein 3d printing; Planting robot; Plasma-Activated Water; Self-cleaning bio-based coating; Smart Composting Bin; Terahertz technology for post harvest preservation; Wearable plant sensors; autonomous laser weeder; bioplastic thermoform; microbial herbicide,42
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_1,TRL 9 Early Adopters,81.945,Agroecology; Agroforestry; Climate smart agriculture; Erosion control; Insects as food; Post-harvest preservation,6
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_2,TRL 9 Early Adopters,71.312,Advanced agriculture impact model; Agricultural climate control; Agricultural robot; Agricultural swarm robots; Agriculture climate modeling; Agrivoltaics; Aquaponics; Automated animal monitoring; Biochar Production; Biocomposites; Biodegradable additives; Biodegradable polymers; Biofuel; Biogas digester; Biopesticide; Bioremediation; Biostimulants; CRISPR-based genome mining; Climate smart decision support tools; Drought resistent crop; Enzyme-assisted food processing; Fungal biopesticide; Fungal microremediation; Gene sythesis; Gene-expression silencing; Genetically modified microbes; Genetically modified microorganism; Hyperspectral crop monitoring; Hyperspectral imaging; IoT in agriculture; Microbial biopesticide; Microbial protein production; Multiplex CRISPR; Multispectral crop monitoring; Nutrient delivery system; Nutrient sensor; Optical crop monitoring; Pest prediction; Phage-based food safety; Photodegradable plastic; Plant disease prediction; Plant-based polymer; Post-transcriptional gene silencing; Precision agriculture; Precision fermentation; Precision livestock farming; Production optimized GM food; Single cell oils; Small scale intensive agricultural system; Soil mapping; Synthetic CRISPR system; Urban composting; Viral biopesticide; Water-use optimization; bio-adhesive; microbial insecticide,56
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_2,TRL 9 Early Majority,68.186,CRISPR; DNA barcoding; Gene Editing; Genetically modified crops; Genetically modified food; Hydroponics; Satellite crop monitoring; Single nucleotide polymorphism analysis,8
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_3,TRL 9 Early Adopters,71.977,Acoustic deterrent device; Aeroponics; Aeroponics tower; Agricultural drone; Agrivoltaic light solutions; Agrivoltaic solar panel; All-rounder AgBot; Animal health monitoring; Automated nutrient delivery control; Automatic composter; Autonomous tractor; Bio-nylon; Biodegradable agricultural mulch film; Bioreactor for insect cultivation; CRISPR edited fruit; CRISPR-Cpf1 ; CRISPRi; Circular Economy Macroalgae Biorefinery System; Cpf1 enzyme gene editing; Crop spraying robot; Deepwater culture; Dissolvable plant pot; Electric Composter; Erosion control monitoring and sensing; Fungal agricultural additive; Fungi-Mediated Waste Bioconversion System; Geospatial field zoning analytics; High-pressure aeroponics; Hydroponic fodder system; In-vessel Composting System; Insect feed formula; LiDAR crop monitoring; Livestock drone automated sensing; Low-pressure aeroponics; Microbial fungicide; Multi-wavelength LiDAR sensor; Paper-based biosensor; Phage biocontrol against listeria; Phage biocontrol against salmonella; Plant remote network sensors; Plant-based mean precision fermentation; Plant-based meat; Plant-based protein Extrusion; Plant-based protein isolation; Plant-based protein texturalization; Precision livestock feeding; Precision planting system; Robotic weeder; Salinity sensor; Seeding robot; Slow-release fertilizer capsule; Smart greenhouse; Smart irrigation and drainage; Smartphone-based scientific instrumentation; Soil sensor; Starch-based plastic; UAV precision spraying; Weeding robot; forecasting microclimate weather; pH sensor; rbcL barcoding,61
"Agriculture, forestry, fisheries",3-5 years,TECH_LEVEL_3,TRL 9 Early Majority,68.813,CRISPR Cas12; CRISPR-Cas-9; CRISPR-Cas9; Micro-irrigation system; Moisture sensor; Soil pH sensor; Variable Rate Technology,7
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_2,TRL 5-6,46.22,Cloud ionization tower,1
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_3,TRL 5-6,78.09,Chloroplast-Enhanced Holographic Light Trapping Films,1
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_2,TRL 5-6 Innovators,60,Gene modified edible insect,1
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_1,TRL 7-8,70.77,Mycorrhizal Fungi; Ocean-Based Carbon Dioxide Removal,2
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_2,TRL 7-8,66.088,Antbiotic fungi; Closed loop regenerative life support systems; De-extinction; Engineered ecological life support system; Enhanced Mineralization; Fourth-generation biofuel; Gene-Engineered Mycobiomass Energy Network; Genetically modified fish; Genetically modified rubber; Genetically modified trees; Micro-gravity agriculture; Ocean-based Carbon Sequestration; Photosynthetic Pathway Engineering for Direct Solar Energy Capture; Probiotic fungi; Space advanced life support food production; Space-borne agriculture; Stratospheric aerosol injection; Weather modification technology; bioregenerative life support system,19
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_3,TRL 7-8,72.833,Automated Vertical Fungal Biorefinery; Gene-Edited Photosynthetic Protein Arrays; Gene-engineered Photosynthetic Biofuel System; In-Situ Cellulosic Conversion System; Modular Plant-based Biobattery System; Plasma-Activated Water; Salinity resistent crop; Soil cleaning nanorobot,8
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_2,TRL 7-8 Innovators,46.25,Gene-engineered Photosynthetic Enhancement System,1
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_3,TRL 7-8 Innovators,73.205,Bio-Capacitive Agricultural Swarm Robots with Protein-Based Energy Storage; Quantum Dot-Enhanced Microalgal Photosynthesis,2
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_1,TRL 9 Innovators,86.67,Space advanced life support systems,1
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_2,TRL 9 Innovators,70.77,Temperature varying resistent crop; pH tolerant crop,2
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_1,TRL 7-8 Early Adopters,70.203,Fungi treatment; Halophytes; Plant nanobionics,3
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_2,TRL 7-8 Early Adopters,70.08,Artificial rain; Atmosphere ionization; Biobased phase-change material; Biological process photosynthesis; CRISPR based genetic drivers; Cellular agriculture; Edge-effect based agrotechnologies; Engineered microbial consortia; Enhanced Photosynthesis; Epigenome editing; Field assistant robot; Fungi-Mediated Cellulosic Bioconversion Platform; Gene drive technology; Gene-Engineered Adaptive Bioreactor Arrays for Distributed Energy Generation; Genetically modified fungi; Genetically modified marine species; Insect processing technology; Microbial Carbon Fixation; RNA-based Algal Productivity Enhancement; Transgenic crop protein production,20
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_3,TRL 7-8 Early Adopters,66.397,Agrivoltaic irrigation system; Artificial Lytic Enzymes; Automated In-Situ Biomass Processing System; Balloon-based cloud seeding; CRISPR-Enabled Photosynthesis Enhancement System; Circular Economy Agrivoltaic Bioconversion System; Cultured meat bioprocess scaleup; Drone-based cloud seeding; Evolved Endolysins; Fungal Mycelium Bioreactor for Lignocellulosic Conversion; Fungi-Enhanced Consolidated Bioprocessing; Fungi-Mediated Biomass Decomposition Platform; Gene-Engineered Thermophilic Fungal Bioenergy System; Gene-engineered Photosynthetic Enhancement Agrivoltaics; Gene-engineered Photosynthetic Enhancement Microalgae; Insect-targeted RNA spray; Integrated Photonic SCO Bioreactors; Mealworm based biodegradble plastic; Microbial Fuel Cell-Insect Waste Integration System; Photosynthetic Microalgae Mini Bioreactors; Programmable Macroalgae Metabolic Switching System; Programmable Mycobiomass Energy Generator; Quantum Dot-Enhanced Photosynthetic Spectrum Expansion; Self-Sustainable Microbial-Enhanced Agrivoltaic System; Self-Sustaining Circular Algal Biorefinery; Serum free cultured meat; soil based microbial fuel cell,27
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_2,TRL 7-8 Early Majority,58.5,Anti-fungal fungal agent,1
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_3,TRL 7-8 Early Majority,78.735,Nanoparticle enriched plant-based meat; Wearable plant sensors,2
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_1,TRL 9,67.4,Carbon dioxide removal,1
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_1,TRL 9 Early Adopters,66.67,Carbon sequestration,1
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_1,TRL 9 Early Majority,76.971,Agroecology; Agroforestry; Biological sequestration; Ceratin fungi; Climate smart agriculture; Cultivated energy crop; Erosion control; Insects as food; Microbial communities; Post-harvest preservation,10
"Agriculture, forestry, fisheries",5-7 years,TECH_LEVEL_2,TRL 9,71.477,Algae protein expression; Controlled environment agriculture for space; Engineered microalgae; Trait optimized GM food,4
